"","b1","b2","b3","b4","b5","b6.1","b6.2","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24.1","b24.2","b25","b26","b27","b28","b29","b30","b31","b32"
"143",1,1,1,1,1,0,1,2,1,3,1,1,1,1,0,1,2,2,0,1,2,1,1,0,0,0,1,1,1,0,1,1,1,1
"144",1,1,1,1,0,0,0,2,1,3,0,0,1,0,0,1,0,2,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
"145",2,0,0,0,1,0,1,3,1,3,0,1,1,1,0,0,2,2,0,0,2,1,1,1,0,0,1,1,1,2,3,0,1,0
"146",2,1,0,1,0,0,2,3,1,0,0,1,1,0,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,2,1,0,0
"147",0,1,0,1,0,1,1,3,1,0,0,1,0,0,0,1,0,1,0,1,2,1,0,1,0,0,1,1,1,0,3,1,1,0
"148",1,1,1,1,0,0,1,3,1,3,0,1,1,1,1,0,2,2,1,0,0,1,1,0,0,0,1,1,1,3,1,1,1,0
"149",2,1,1,1,1,1,2,2,1,3,0,1,1,1,1,0,2,2,0,1,2,1,1,0,0,1,1,1,1,2,0,1,1,0
"150",2,1,1,1,0,0,1,3,1,3,0,1,1,0,0,1,2,2,0,1,1,1,1,0,0,0,1,1,1,1,2,1,1,0
"151",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0
"152",2,1,1,1,1,1,1,2,1,0,1,1,1,1,0,0,2,2,1,1,1,1,1,1,0,0,0,1,1,2,2,0,1,0
"153",2,1,1,1,1,0,0,2,0,3,1,1,1,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
"154",1,1,1,1,0,0,1,1,1,3,0,1,1,0,1,1,2,2,1,0,1,1,1,0,1,1,1,1,1,3,3,1,1,0
"155",1,1,0,0,0,0,1,3,1,3,0,0,1,0,0,1,2,2,1,0,2,1,1,0,0,0,1,1,1,2,1,1,1,1
"156",2,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,2,2,0,1,2,1,0,1,1,1,1,1,1,4,3,1,1,1
"157",1,0,1,1,1,0,0,3,1,3,1,0,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,1,1,1,2,1,0,0
"158",2,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,4,3,1,1,1
